"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,30.0,0.0,0.04229468107223511,"Wisconsin state Sen. Scott Fitzgerald says some people have been <font color = red>found</font> to be voting <font color = red>five</font> or six times a day",1.0,0.7398741245269775,"Wisconsin state Sen. Scott Fitzgerald says some people have been <font color = green>claimed</font> to be voting <font color = green>six</font> or six times a day","Successful"
0.0,61.0,0.0,7.712841033935547e-05,"Rand Paul <font color = red>said</font> that Marco Rubio is for an 'open border'",1.0,0.999942421913147,"Rand Paul <font color = green>noted</font> that Marco Rubio is for an 'open border'","Successful"
0.0,1.0,1.0,0.9969898462295532,"Microsoft virus warning",1.0,0.9969898462295532,"Microsoft virus warning","Skipped"
0.0,93.0,0.0,6.794929504394531e-05,"A U.<font color = red>S</font>. surgeon who exposed “Clinton Foundation corruption in Haiti” was <font color = red>found</font> <font color = red>dead</font> in his home under suspicious circumstances.",1.0,0.996566653251648,"A U.<font color = green>col</font>. surgeon who exposed “Clinton Foundation corruption in Haiti” was <font color = green>felt</font> <font color = green>safe</font> in his home under suspicious circumstances.","Successful"
0.0,76.0,0.0,2.8371810913085938e-05,"Michele <font color = red>Bachmann</font> said that <font color = red>solar</font> power drains the sun of heat.",1.0,0.9999558925628662,"Michele <font color = green>u</font> said that <font color = green>blue</font> power drains the sun of heat.","Successful"
0.0,66.0,0.0,7.200241088867188e-05,"Tonopah Solar Company $737 <font color = red>Million</font> Government <font color = red>Loan</font> For Solar <SPLIT>Project",1.0,0.993244469165802,"Tonopah Solar Company $737 <font color = green>matching</font> Government <font color = green>incentives</font> For Solar <SPLIT>Project","Successful"
0.0,186.0,0.0,4.410743713378906e-05,"The <font color = red>zodiac</font> is about to <font color = red>change</font> to include a ""<font color = red>new</font>"" <font color = red>star</font> sign, Ophiuchus.",1.0,0.9998561143875122,"The <font color = green>font</font> is about to <font color = green>adjust</font> to include a ""<font color = green>southern</font>"" <font color = green>freeway</font> sign, Ophiuchus.","Successful"
0.0,54.0,0.0,5.602836608886719e-05,"Bill Clinton’s 1996 Immigration Law <font color = red>Behind</font> Child Separations",1.0,0.8556727170944214,"Bill Clinton’s 1996 Immigration Law <font color = green>banning</font> Child Separations","Successful"
0.0,91.0,0.0,3.731250762939453e-05,"Warner <font color = red>says</font> <font color = red>Gillespie</font> <font color = red>supports</font> a personhood amendment",1.0,0.9995675683021545,"Warner <font color = green>stuart</font> <font color = green>ly</font> <font color = green>w</font> a personhood amendment","Successful"
0.0,19.0,0.0,4.6253204345703125e-05,"Is <font color = red>Price</font> <font color = red>guilty</font> of ""Tomfoolery""?",1.0,0.80817711353302,"Is <font color = green>nothing</font> <font color = green>typical</font> of ""Tomfoolery""?","Successful"
0.0,86.0,0.0,7.414817810058594e-05,"Arizona <font color = red>School</font> Requires Female Students to Wear <font color = red>Hijab</font> for One Month",1.0,0.9983691573143005,"Arizona <font color = green>must</font> Requires Female Students to Wear <font color = green>clothing</font> for One Month","Successful"
0.0,48.0,0.0,2.467632293701172e-05,"Websites offer <font color = red>false</font> headlines about treason 'charges' for Trump, Comey, others",1.0,0.9999430179595947,"Websites offer <font color = green>high</font> headlines about treason 'charges' for Trump, Comey, others","Successful"
0.0,1.0,1.0,0.9999591112136841,"Barack Obama says that what he'd said was you could keep your plan 'if it hasn’t changed since the law passed'",1.0,0.9999591112136841,"Barack Obama says that what he'd said was you could keep your plan 'if it hasn’t changed since the law passed'","Skipped"
0.0,28.0,0.0,4.744529724121094e-05,"Providence firefighters’ union says Elorza wants to teach public school children <font color = red>God</font> does not exist",0.0,0.004231691360473633,"Providence firefighters’ union says Elorza wants to teach public school children <font color = red>children</font> does not exist","Failed"
0.0,96.0,0.0,5.412101745605469e-05,"Prince <font color = red>Harry</font> <font color = red>never</font> said Donald Trump wasn't welcome at his wedding",1.0,0.9597426056861877,"Prince <font color = green>carlos</font> <font color = green>famously</font> said Donald Trump wasn't welcome at his wedding","Successful"
0.0,67.0,0.0,2.6464462280273438e-05,"Nancy Pelosi says Supreme Court is 'five guys who <font color = red>start</font> determining what <font color = red>contraceptions</font> are legal'",1.0,0.9382718205451965,"Nancy Pelosi says Supreme Court is 'five guys who <font color = green>be</font> determining what <font color = green>articles</font> are legal'","Successful"
0.0,85.0,0.0,0.00018090009689331055,"John <font color = red>Boehner</font> says Keystone <font color = red>XL</font> pipeline would create 100,000 jobs",1.0,0.9963405132293701,"John <font color = green>doe</font> says Keystone <font color = green>b</font> pipeline would create 100,000 jobs","Successful"
0.0,52.0,0.0,4.124641418457031e-05,"The Iraq Study Group didn't <font color = red>say</font> that",1.0,0.9999583959579468,"The Iraq Study Group didn't <font color = green>disagree</font> that","Successful"
0.0,136.0,0.0,0.00023919343948364258,"Young Thief in Iran <font color = red>Punished</font> by <font color = red>Running</font> a Truck <font color = red>Over</font> His Arm",1.0,0.9998990297317505,"Young Thief in Iran <font color = green>inspired</font> by <font color = green>stolen</font> a Truck <font color = green>like</font> His Arm","Successful"
0.0,39.0,0.0,5.173683166503906e-05,"The Pentagon purchased five million <font color = red>Powerball</font> tickets at a cost of $10 million so they could <font color = red>buy</font> more F-35s if they won.",0.0,0.0027390718460083008,"The Pentagon purchased five million <font color = red>win</font> tickets at a cost of $10 million so they could <font color = red>keep</font> more F-35s if they won.","Failed"
0.0,69.0,0.0,9.85860824584961e-05,"In <font color = red>response</font> to Donald Trump's congratulations on the <font color = red>Falcon</font> Heavy launch, SpaceX CEO Elon Musk called the president a ""dumbass.""",1.0,0.6708453297615051,"In <font color = green>gratitude</font> to Donald Trump's congratulations on the <font color = green>space</font> Heavy launch, SpaceX CEO Elon Musk called the president a ""dumbass.""","Successful"
0.0,53.0,0.0,3.0279159545898438e-05,"Donald Trump <font color = red>falsely</font> claims Hillary Clinton 'wants to abolish the 2nd Amendment'",1.0,0.9022238254547119,"Donald Trump <font color = green>once</font> claims Hillary Clinton 'wants to abolish the 2nd Amendment'","Successful"
0.0,108.0,0.0,3.743171691894531e-05,"Unemployed Mothers Will Be <font color = red>Sent</font> to Jail <font color = red>Under</font> <font color = red>New</font> Law",1.0,0.999906063079834,"Unemployed Mothers Will Be <font color = green>sentenced</font> to Jail <font color = green>since</font> <font color = green>canon</font> Law","Successful"
0.0,48.0,0.0,4.7326087951660156e-05,"RNC chairman Michael Steele <font color = red>says</font> VA has a manual that encourages vets to commit suicide ",1.0,0.9535990953445435,"RNC chairman Michael Steele <font color = green>noted</font> VA has a manual that encourages vets to commit suicide ","Successful"
0.0,58.0,0.0,0.010568499565124512,"Common Houseplant Can <font color = red>Kill</font> Children in Under a Minute",1.0,0.9999343156814575,"Common Houseplant Can <font color = green>serve</font> Children in Under a Minute","Successful"
0.0,93.0,0.0,5.078315734863281e-05,"Anna <font color = red>Mae</font> Dickinson survived a <font color = red>variety</font> of infamous tragedies, <font color = red>including</font> the sinking of the Titanic, the Hindenburg <font color = red>explosion</font>, and the 9/11 terrorist attacks.",0.0,0.06200486421585083,"Anna <font color = red>mae</font> Dickinson survived a <font color = red>legacy</font> of infamous tragedies, <font color = red>covering</font> the sinking of the Titanic, the Hindenburg <font color = red>ing</font>, and the 9/11 terrorist attacks.","Failed"
0.0,257.0,0.0,3.1828880310058594e-05,"Fake <font color = red>news</font> about <font color = red>Washington</font> <font color = red>Post</font> and <font color = red>Roy</font> <font color = red>Moore</font> <font color = red>accuser</font> stems from <font color = red>disputed</font> Twitter account",1.0,0.9263530969619751,"Fake <font color = green>dit</font> about <font color = green>aaron</font> <font color = green>mason</font> and <font color = green>i</font> <font color = green>may</font> <font color = green>have</font> stems from <font color = green>twitter</font> Twitter account","Successful"
0.0,1.0,1.0,0.9913967251777649,"Ronald Rice claims Newark schools are funded largely by local property taxes",1.0,0.9913967251777649,"Ronald Rice claims Newark schools are funded largely by local property taxes","Skipped"
0.0,100.0,0.0,9.429454803466797e-05,"An audio <font color = red>recording</font> features CNN anchor Jake Tapper <font color = red>using</font> racial slurs.",1.0,0.9997554421424866,"An audio <font color = green>intro</font> features CNN anchor Jake Tapper <font color = green>emphasizing</font> racial slurs.","Successful"
0.0,104.0,0.0,0.0003066062927246094,"Oregon <font color = red>Labor</font> <font color = red>Commissioner</font> investigates 300 housing complaints a year?",1.0,0.9905065894126892,"Oregon <font color = green>parole</font> <font color = green>law</font> investigates 300 housing complaints a year?","Successful"
0.0,36.0,0.0,0.00024455785751342773,"Hillary Clinton says economic stats were 100 times better under Bill Clinton than <font color = red>Ronald</font> Reagan",1.0,0.5833156108856201,"Hillary Clinton says economic stats were 100 times better under Bill Clinton than <font color = green>clinton</font> Reagan","Successful"
0.0,93.0,0.0,0.00020891427993774414,"Money from Saudi <font color = red>Arabian</font> <font color = red>McDonald</font>’s helping terrorists",1.0,0.9976059198379517,"Money from Saudi <font color = green>aid</font> <font color = green>children</font>’s helping terrorists","Successful"
0.0,53.0,0.0,0.00011098384857177734,"Ann Marie Buerkle, GOP candidate, <font color = red>says</font> under new health law, feds will track Americans' body mass index",1.0,0.9971433281898499,"Ann Marie Buerkle, GOP candidate, <font color = green>incumbent</font> under new health law, feds will track Americans' body mass index","Successful"
0.0,64.0,0.0,0.00047779083251953125,"Bill Maher says GOP proposal would <font color = red>limit</font> seniors to $15,000 spending under Medicare",1.0,0.997183084487915,"Bill Maher says GOP proposal would <font color = green>target</font> seniors to $15,000 spending under Medicare","Successful"
0.0,80.0,0.0,2.574920654296875e-05,"No, <font color = red>CNN</font> isn't <font color = red>closing</font> after <font color = red>ratings</font> drop",0.0,4.0650367736816406e-05,"No, <font color = red>jon</font> isn't <font color = red>calling</font> after <font color = red>class</font> drop","Failed"
0.0,60.0,0.0,8.83340835571289e-05,"SA police: ‘Don’t help crying children’ warning a <font color = red>hoax</font> | Africa Check",1.0,0.9793215394020081,"SA police: ‘Don’t help crying children’ warning a <font color = green>witness</font> | Africa Check","Successful"
0.0,59.0,0.0,4.506111145019531e-05,"Limbaugh says unemployment <font color = red>drop</font> was skewed by Thanksgiving holiday",1.0,0.9839450716972351,"Limbaugh says unemployment <font color = green>coverage</font> was skewed by Thanksgiving holiday","Successful"
0.0,144.0,0.0,4.6253204345703125e-05,"    “Canada <font color = red>spends</font> $12 <font color = red>billion</font> a year on <font color = red>oil</font> from <font color = red>Saudi</font> Arabia.”  ",1.0,0.8891661763191223,"    “Canada <font color = green>contributes</font> $12 <font color = green>8</font> a year on <font color = green>average</font> from <font color = green>drilling</font> Arabia.”  ","Successful"
0.0,57.0,0.0,0.00015246868133544922,"Stranded <font color = red>motorist</font> who turned out to be Mrs. Nat King Cole",1.0,0.8928762674331665,"Stranded <font color = green>beauty</font> who turned out to be Mrs. Nat King Cole","Successful"
0.0,131.0,0.0,4.029273986816406e-05,"Donald <font color = red>Trump</font> <font color = red>says</font> <font color = red>Mexico</font> doesn't have <font color = red>birthright</font> citizenship",0.0,0.004607439041137695,"Donald <font color = red>sanders</font> <font color = red>said</font> <font color = red>brown</font> doesn't have <font color = red>mixed</font> citizenship","Failed"
0.0,185.0,0.0,4.6253204345703125e-05,"Vice President Mike Pence will be <font color = red>stepping</font> down from the GOP ticket in 2020 to <font color = red>run</font> for a <font color = red>U</font>.<font color = red>S</font>. Senate seat in Indiana.",1.0,0.9659143686294556,"Vice President Mike Pence will be <font color = green>runners</font> down from the GOP ticket in 2020 to <font color = green>go</font> for a <font color = green>candidate</font>.<font color = green>rights</font>. Senate seat in Indiana.","Successful"
0.0,107.0,0.0,0.00012111663818359375,"A photograph <font color = red>shows</font> <font color = red>Donald</font> <font color = red>Trump</font> in a diaper.",1.0,0.9997164607048035,"A photograph <font color = green>included</font> <font color = green>senator</font> <font color = green>walsh</font> in a diaper.","Successful"
0.0,68.0,0.0,5.2094459533691406e-05,"Green Bay Packers coach Mike McCarthy put <font color = red>something</font> on the field that ""<font color = red>pissed</font> off"" his ""racist"" players.",1.0,0.5079711079597473,"Green Bay Packers coach Mike McCarthy put <font color = green>things</font> on the field that ""<font color = green>laughed</font> off"" his ""racist"" players.","Successful"
0.0,161.0,0.0,4.601478576660156e-05,"Donald Trump threatened to <font color = red>skip</font> the remaining presidential <font color = red>debates</font> if Hillary Clinton <font color = red>showed</font> up.",1.0,0.5866251587867737,"Donald Trump threatened to <font color = green>call</font> the remaining presidential <font color = green>questions</font> if Hillary Clinton <font color = green>followed</font> up.","Successful"
0.0,88.0,0.0,2.8967857360839844e-05,"Conspiracy <font color = red>theorists</font> concoct <font color = red>fake</font> report of <font color = red>Obama</font> arrest for drug smuggling",1.0,0.5623555183410645,"Conspiracy <font color = green>alleged</font> concoct <font color = green>various</font> report of <font color = green>persons</font> arrest for drug smuggling","Successful"
0.0,57.0,0.0,3.349781036376953e-05,"McCain's <font color = red>record</font> on pork: Good, not perfect",1.0,0.999941349029541,"McCain's <font color = green>point</font> on pork: Good, not perfect","Successful"
0.0,79.0,0.0,4.565715789794922e-05,"Videos of home testing of bottled water handed out in Flint <font color = red>demonstrate</font> the <font color = red>existence</font> of dangerous levels of lead.",1.0,0.8556213974952698,"Videos of home testing of bottled water handed out in Flint <font color = green>noted</font> the <font color = green>finding</font> of dangerous levels of lead.","Successful"
0.0,146.0,0.0,2.956390380859375e-05,"Website <font color = red>falsely</font> <font color = red>claims</font> Melania Trump <font color = red>made</font> 'shocking <font color = red>announcement'</font> to Donald Trump",1.0,0.637148916721344,"Website <font color = green>also</font> <font color = green>noted</font> Melania Trump <font color = green>stevens</font> 'shocking <font color = green>concessions</font> to Donald Trump","Successful"
0.0,71.0,0.0,4.57763671875e-05,"As President Obama <font color = red>departed</font> Cuba, dozens of prospective refugees <font color = red>clung</font> to the wings of Air Force One.",1.0,0.9966417551040649,"As President Obama <font color = green>neared</font> Cuba, dozens of prospective refugees <font color = green>responded</font> to the wings of Air Force One.","Successful"
0.0,103.0,0.0,5.3882598876953125e-05,"Laura Ingraham says Massachusetts <font color = red>health</font> <font color = red>plan</font> is ""wildly unpopular""",1.0,0.9748285412788391,"Laura Ingraham says Massachusetts <font color = green>crime</font> <font color = green>coverage</font> is ""wildly unpopular""","Successful"
0.0,73.0,0.0,4.2319297790527344e-05,"Chinese <font color = red>Fireworks</font> <font color = red>Video</font> – Fiction",0.0,0.00010538101196289062,"Chinese <font color = red>music</font> <font color = red>prose</font> – Fiction","Failed"
0.0,71.0,0.0,0.025448381900787354,"Rep. Ron Maag <font color = red>says</font> 46 percent of Medicaid expansion money would be borrowed from foreign governments that don’t “like us very much”",1.0,0.7139236927032471,"Rep. Ron Maag <font color = green>insisted</font> 46 percent of Medicaid expansion money would be borrowed from foreign governments that don’t “like us very much”","Successful"
0.0,30.0,0.0,0.003518223762512207,"George Allen says U.S. lent $2 billion to <font color = red>Brazil</font> for <font color = red>oil</font> and gas exploration",1.0,0.8260602355003357,"George Allen says U.S. lent $2 billion to <font color = green>brazil</font> for <font color = green>refining</font> and gas exploration","Successful"
0.0,43.0,0.0,0.00015223026275634766,"Sen. Barbara Boxer <font color = red>says</font> Condoleezza Rice didn't know how many troops had died in Iraq",1.0,0.9451156258583069,"Sen. Barbara Boxer <font color = green>told</font> Condoleezza Rice didn't know how many troops had died in Iraq","Successful"
0.0,61.0,0.0,6.592273712158203e-05,"Various restaurants around the world were <font color = red>shut</font> down for serving  for serving human meat.",1.0,0.6786254048347473,"Various restaurants around the world were <font color = green>settled</font> down for serving  for serving human meat.","Successful"
