"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,26.0,0.0,0.04229468107223511,"Wisconsin state Sen. Scott <font color = red>Fitzgerald</font> says some people have been found to be voting <font color = red>five</font> or <font color = red>six</font> times a day",1.0,0.7228895425796509,"Wisconsin state Sen. Scott <font color = green>Gu</font> says some people have been found to be voting <font color = green>nine</font> or <font color = green>four</font> times a day","Successful"
0.0,31.0,0.0,7.712841033935547e-05,"<font color = red>Rand</font> <font color = red>Paul</font> said that <font color = red>Marco</font> <font color = red>Rubio</font> is for an 'open border'",0.0,0.0022412538528442383,"<font color = red>Treshawn</font> <font color = red>Atchison</font> said that <font color = red>Zakiyyah</font> <font color = red>Wu</font> is for an 'open border'","Failed"
0.0,1.0,1.0,0.9969898462295532,"Microsoft virus warning",1.0,0.9969898462295532,"Microsoft virus warning","Skipped"
0.0,10.0,0.0,6.794929504394531e-05,"A U.S. surgeon who exposed “<font color = red>Clinton</font> Foundation corruption in <font color = red>Haiti</font>” was found dead in his home under suspicious circumstances.",0.0,9.655952453613281e-05,"A U.S. surgeon who exposed “<font color = red>Mireille</font> Foundation corruption in <font color = red>Angola</font>” was found dead in his home under suspicious circumstances.","Failed"
0.0,10.0,0.0,2.8371810913085938e-05,"<font color = red>Michele</font> <font color = red>Bachmann</font> said that solar power drains the sun of heat.",0.0,8.988380432128906e-05,"<font color = red>Dariela</font> <font color = red>Derose</font> said that solar power drains the sun of heat.","Failed"
0.0,10.0,0.0,7.200241088867188e-05,"Tonopah Solar Company $<font color = red>737</font> <font color = red>Million</font> Government Loan For Solar <SPLIT>Project",0.0,0.0001461505889892578,"Tonopah Solar Company $<font color = red>85</font> <font color = red>one</font> <font color = red>million</font>, <font color = red>five</font> <font color = red>hundred</font> <font color = red>and</font> <font color = red>thirty-six</font> <font color = red>thousand</font> <font color = red>and</font> <font color = red>twenty-eight</font> Government Loan For Solar <SPLIT>Project","Failed"
0.0,1.0,0.0,4.410743713378906e-05,"The zodiac is about to change to include a ""new"" star sign, Ophiuchus.",0.0,4.410743713378906e-05,"The zodiac is about to change to include a ""new"" star sign, Ophiuchus.","Failed"
0.0,19.0,0.0,5.602836608886719e-05,"<font color = red>Bill</font> <font color = red>Clinton</font>’s <font color = red>1996</font> Immigration Law Behind Child Separations",0.0,0.0003037452697753906,"<font color = red>Jessika</font> <font color = red>Hann</font>’s <font color = red>1291</font> Immigration Law Behind Child Separations","Failed"
0.0,10.0,0.0,3.731250762939453e-05,"<font color = red>Warner</font> says <font color = red>Gillespie</font> supports a personhood amendment",0.0,0.0001270771026611328,"<font color = red>Madlyn</font> says <font color = red>Amando</font> supports a personhood amendment","Failed"
0.0,1.0,0.0,4.6253204345703125e-05,"Is Price guilty of ""Tomfoolery""?",0.0,4.6253204345703125e-05,"Is Price guilty of ""Tomfoolery""?","Failed"
0.0,3.0,0.0,7.414817810058594e-05,"Arizona School Requires Female Students to Wear Hijab for <font color = red>One</font> Month",0.0,8.368492126464844e-05,"Arizona School Requires Female Students to Wear Hijab for <font color = red>two</font> Month","Failed"
0.0,4.0,0.0,2.467632293701172e-05,"Websites offer false headlines about treason 'charges' for Trump, <font color = red>Comey</font>, others",0.0,2.6464462280273438e-05,"Websites offer false headlines about treason 'charges' for Trump, <font color = red>Wisner</font>, others","Failed"
0.0,1.0,1.0,0.9999591112136841,"Barack Obama says that what he'd said was you could keep your plan 'if it hasn’t changed since the law passed'",1.0,0.9999591112136841,"Barack Obama says that what he'd said was you could keep your plan 'if it hasn’t changed since the law passed'","Skipped"
0.0,20.0,0.0,4.744529724121094e-05,"<font color = red>Providence</font> firefighters’ union says <font color = red>Elorza</font> wants to teach public school children <font color = red>God</font> does not exist",0.0,8.881092071533203e-05,"<font color = red>Apple</font> <font color = red>Valley</font> firefighters’ union says <font color = red>Joselyn</font> wants to teach public school children <font color = red>Jasper</font> does not exist","Failed"
0.0,36.0,0.0,5.412101745605469e-05,"<font color = red>Prince</font> <font color = red>Harry</font> never said <font color = red>Donald</font> <font color = red>Trump</font> <font color = red>wasn't</font> welcome at his wedding",0.0,0.004855334758758545,"<font color = red>Kalea</font> <font color = red>Smock</font> never said <font color = red>Marquise</font> <font color = red>Beeman</font> <font color = red>was</font> <font color = red>not</font> welcome at his wedding","Failed"
0.0,18.0,0.0,2.6464462280273438e-05,"<font color = red>Nancy</font> <font color = red>Pelosi</font> says Supreme Court is '<font color = red>five</font> guys who start determining what contraceptions are legal'",0.0,3.0517578125e-05,"<font color = red>Tarrell</font> <font color = red>Sher</font> says Supreme Court is '<font color = red>two</font> guys who start determining what contraceptions are legal'","Failed"
