"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,24.0,0.0,0.04229468107223511,"Wisconsin state Sen. Scott Fitzgerald <font color = red>says</font> some people have been found to be voting five or six times a day",1.0,0.9997972846031189,"Wisconsin state Sen. Scott Fitzgerald <font color = green>syas</font> some people have been found to be voting five or six times a day","Successful"
0.0,27.0,0.0,7.712841033935547e-05,"Rand <font color = red>Paul</font> said that Marco <font color = red>Rubio</font> is for an '<font color = red>open</font> <font color = red>border'</font>",1.0,0.7836238741874695,"Rand <font color = green>Xaul</font> said that Marco <font color = green>Rubo</font> is for an '<font color = green>oApen</font> <font color = green>borderz</font>","Successful"
0.0,1.0,1.0,0.9969898462295532,"Microsoft virus warning",1.0,0.9969898462295532,"Microsoft virus warning","Skipped"
0.0,37.0,0.0,6.794929504394531e-05,"A U.S. <font color = red>surgeon</font> who exposed “Clinton Foundation corruption in <font color = red>Haiti</font>” was found <font color = red>dead</font> in his home under suspicious circumstances.",1.0,0.6127495169639587,"A U.S. <font color = green>sumrgeon</font> who exposed “Clinton Foundation corruption in <font color = green>Hiati</font>” was found <font color = green>dea</font> in his home under suspicious circumstances.","Successful"
0.0,24.0,0.0,2.8371810913085938e-05,"Michele <font color = red>Bachmann</font> <font color = red>said</font> that <font color = red>solar</font> power drains the sun of heat.",1.0,0.9974134564399719,"Michele <font color = green>Oachmann</font> <font color = green>aid</font> that <font color = green>oslar</font> power drains the sun of heat.","Successful"
0.0,31.0,0.0,7.200241088867188e-05,"<font color = red>Tonopah</font> <font color = red>Solar</font> Company $737 <font color = red>Million</font> Government Loan <font color = red>For</font> Solar <SPLIT><font color = red>Project</font>",1.0,0.9935990571975708,"<font color = green>TMonopah</font> <font color = green>Slar</font> Company $737 <font color = green>Mllion</font> Government Loan <font color = green>Hor</font> Solar <SPLIT><font color = green>ProjecVt</font>","Successful"
0.0,45.0,0.0,4.410743713378906e-05,"<font color = red>The</font> <font color = red>zodiac</font> is about to <font color = red>change</font> to <font color = red>include</font> a ""<font color = red>new</font>"" <font color = red>star</font> sign, <font color = red>Ophiuchus</font>.",1.0,0.822871744632721,"<font color = green>Thce</font> <font color = green>zodiaIc</font> is about to <font color = green>chacnge</font> to <font color = green>Gnclude</font> a ""<font color = green>nw</font>"" <font color = green>tar</font> sign, <font color = green>pOhiuchus</font>.","Successful"
0.0,14.0,0.0,5.602836608886719e-05,"Bill Clinton’s 1996 Immigration Law <font color = red>Behind</font> Child Separations",1.0,0.9070804119110107,"Bill Clinton’s 1996 Immigration Law <font color = green>eBhind</font> Child Separations","Successful"
0.0,16.0,0.0,3.731250762939453e-05,"Warner <font color = red>says</font> Gillespie <font color = red>supports</font> a personhood amendment",1.0,0.9916597008705139,"Warner <font color = green>syas</font> Gillespie <font color = green>supporJts</font> a personhood amendment","Successful"
0.0,22.0,0.0,4.6253204345703125e-05,"<font color = red>Is</font> <font color = red>Price</font> <font color = red>guilty</font> of ""<font color = red>Tomfoolery</font>""?",1.0,0.9962614178657532,"<font color = green>sI</font> <font color = green>rPice</font> <font color = green>guuilty</font> of ""<font color = green>TGomfoolery</font>""?","Successful"
0.0,24.0,0.0,7.414817810058594e-05,"Arizona <font color = red>School</font> Requires Female Students to Wear <font color = red>Hijab</font> for One <font color = red>Month</font>",1.0,0.9826828241348267,"Arizona <font color = green>Shcool</font> Requires Female Students to Wear <font color = green>Hijb</font> for One <font color = green>MontBh</font>","Successful"
0.0,16.0,0.0,2.467632293701172e-05,"Websites offer <font color = red>false</font> headlines about treason 'charges' for Trump, Comey, others",1.0,0.9907410144805908,"Websites offer <font color = green>afalse</font> headlines about treason 'charges' for Trump, Comey, others","Successful"
0.0,1.0,1.0,0.9999591112136841,"Barack Obama says that what he'd said was you could keep your plan 'if it hasn’t changed since the law passed'",1.0,0.9999591112136841,"Barack Obama says that what he'd said was you could keep your plan 'if it hasn’t changed since the law passed'","Skipped"
0.0,24.0,0.0,4.744529724121094e-05,"Providence firefighters’ union <font color = red>says</font> Elorza wants to teach public school children God does not <font color = red>exist</font>",1.0,0.9982250332832336,"Providence firefighters’ union <font color = green>syas</font> Elorza wants to teach public school children God does not <font color = green>extst</font>","Successful"
0.0,32.0,0.0,5.412101745605469e-05,"<font color = red>Prince</font> <font color = red>Harry</font> never said <font color = red>Donald</font> Trump wasn't <font color = red>welcome</font> at his wedding",1.0,0.9990924596786499,"<font color = green>PrRince</font> <font color = green>Hary</font> never said <font color = green>Donhald</font> Trump wasn't <font color = green>welcoe</font> at his wedding","Successful"
