"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,49.0,0.0,0.04229468107223511,"Wisconsin state Sen. Scott Fitzgerald says some people have been found to <font color = red>be</font> voting five or six times a day",1.0,0.999588668346405,"Wisconsin state Sen. Scott Fitzgerald says some people have been found to <font color = green>se</font> voting five or six times a day","Successful"
0.0,61.0,0.0,7.712841033935547e-05,"Rand Paul <font color = red>said</font> that Marco Rubio is for an 'open border'",1.0,0.9999668598175049,"Rand Paul <font color = green>highlighted</font> that Marco Rubio is for an 'open border'","Successful"
0.0,1.0,1.0,0.9969898462295532,"Microsoft virus warning",1.0,0.9969898462295532,"Microsoft virus warning","Skipped"
0.0,98.0,0.0,6.794929504394531e-05,"A U.<font color = red>S</font>. surgeon who exposed “Clinton Foundation corruption in <font color = red>Haiti</font>” was <font color = red>found</font> dead in his home under suspicious circumstances.",1.0,0.558204174041748,"A U.<font color = green>p</font>. surgeon who exposed “Clinton Foundation corruption in <font color = green>Nunez</font>” was <font color = green>noted</font> dead in his home under suspicious circumstances.","Successful"
0.0,67.0,0.0,2.8371810913085938e-05,"Michele Bachmann <font color = red>said</font> that <font color = red>solar</font> power drains the sun of heat.",1.0,0.9723252654075623,"Michele Bachmann <font color = green>highlighted</font> that <font color = green>sunscreen</font> power drains the sun of heat.","Successful"
0.0,72.0,0.0,7.200241088867188e-05,"Tonopah Solar Company $737 <font color = red>Million</font> Government <font color = red>Loan</font> <font color = red>For</font> Solar <SPLIT>Project",1.0,0.9998428821563721,"Tonopah Solar Company $737 <font color = green>Sg</font> Government <font color = green>Loaner</font> <font color = green>About</font> Solar <SPLIT>Project","Successful"
0.0,90.0,0.0,4.410743713378906e-05,"The <font color = red>zodiac</font> is about to <font color = red>change</font> to include a ""<font color = red>new</font>"" star sign, Ophiuchus.",1.0,0.7031132578849792,"The <font color = green>horoscope</font> is about to <font color = green>amends</font> to include a ""<font color = green>nouvelle</font>"" star sign, Ophiuchus.","Successful"
0.0,39.0,0.0,5.602836608886719e-05,"Bill Clinton’s 1996 Immigration Law <font color = red>Behind</font> Child Separations",1.0,0.8767890930175781,"Bill Clinton’s 1996 Immigration Law <font color = green>Lineman</font> Child Separations","Successful"
0.0,56.0,0.0,3.731250762939453e-05,"Warner <font color = red>says</font> Gillespie supports a personhood amendment",1.0,0.9999463558197021,"Warner <font color = green>pointed</font> Gillespie supports a personhood amendment","Successful"
0.0,99.0,0.0,4.6253204345703125e-05,"Is <font color = red>Price</font> guilty of ""<font color = red>Tomfoolery</font>""?",1.0,0.9992364645004272,"Is <font color = green>Costing</font> guilty of ""<font color = green>Playfulness</font>""?","Successful"
0.0,93.0,0.0,7.414817810058594e-05,"Arizona <font color = red>School</font> Requires Female Students to Wear <font color = red>Hijab</font> for One Month",1.0,0.9356465935707092,"Arizona <font color = green>Instruction</font> Requires Female Students to Wear <font color = green>Sling</font> for One Month","Successful"
0.0,49.0,0.0,2.467632293701172e-05,"Websites offer <font color = red>false</font> headlines about treason 'charges' for Trump, Comey, others",1.0,0.8693288564682007,"Websites offer <font color = green>scythe</font> headlines about treason 'charges' for Trump, Comey, others","Successful"
0.0,1.0,1.0,0.9999591112136841,"Barack Obama says that what he'd said was you could keep your plan 'if it hasn’t changed since the law passed'",1.0,0.9999591112136841,"Barack Obama says that what he'd said was you could keep your plan 'if it hasn’t changed since the law passed'","Skipped"
0.0,114.0,0.0,4.744529724121094e-05,"Providence firefighters’ union <font color = red>says</font> Elorza wants to teach public school children <font color = red>God</font> does not exist",1.0,0.703291118144989,"Providence firefighters’ union <font color = green>tells</font> Elorza wants to teach public school children <font color = green>Jeez</font> does not exist","Successful"
0.0,64.0,0.0,5.412101745605469e-05,"<font color = red>Prince</font> <font color = red>Harry</font> never said <font color = red>Donald</font> Trump wasn't welcome at his <font color = red>wedding</font>",1.0,0.9020906090736389,"<font color = green>Majesty</font> <font color = green>Hari</font> never said <font color = green>Hsia</font> Trump wasn't welcome at his <font color = green>spousal</font>","Successful"
0.0,159.0,0.0,2.6464462280273438e-05,"Nancy Pelosi says Supreme Court is 'five <font color = red>guys</font> who <font color = red>start</font> <font color = red>determining</font> what contraceptions are legal'",1.0,0.673173189163208,"Nancy Pelosi says Supreme Court is 'five <font color = green>buddy</font> who <font color = green>priori</font> <font color = green>discern</font> what contraceptions are legal'","Successful"
0.0,95.0,0.0,0.00018090009689331055,"John Boehner says <font color = red>Keystone</font> <font color = red>XL</font> pipeline would <font color = red>create</font> 100,000 jobs",1.0,0.6173880100250244,"John Boehner says <font color = green>Founding</font> <font color = green>XI</font> pipeline would <font color = green>constructed</font> 100,000 jobs","Successful"
0.0,109.0,0.0,4.124641418457031e-05,"<font color = red>The</font> Iraq Study <font color = red>Group</font> didn't <font color = red>say</font> that",1.0,0.9987758994102478,"<font color = green>Both</font> Iraq Study <font color = green>Pooled</font> didn't <font color = green>noted</font> that","Successful"
0.0,86.0,0.0,0.00023919343948364258,"Young Thief in Iran <font color = red>Punished</font> by <font color = red>Running</font> a Truck <font color = red>Over</font> His Arm",1.0,0.9999285936355591,"Young Thief in Iran <font color = green>Quelled</font> by <font color = green>Operandi</font> a Truck <font color = green>Besides</font> His Arm","Successful"
