"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,28.0,0.0,0.2767269015312195,"Wisconsin state Sen. <font color = red>Scott</font> <font color = red>Fitzgerald</font> says some people have been found to be voting <font color = red>five</font> or <font color = red>six</font> times a day",0.0,0.43248826265335083,"Wisconsin state Sen. <font color = red>Henley</font> <font color = red>Krantz</font> says some people have been found to be voting <font color = red>ten</font> or <font color = red>twelve</font> times a day","Failed"
0.0,31.0,0.0,0.10322856903076172,"<font color = red>Rand</font> <font color = red>Paul</font> said that <font color = red>Marco</font> <font color = red>Rubio</font> is for an 'open border'",0.0,0.13576418161392212,"<font color = red>Argenis</font> <font color = red>Deans</font> said that <font color = red>Jedd</font> <font color = red>Beall</font> is for an 'open border'","Failed"
0.0,1.0,1.0,0.5340422987937927,"Microsoft virus warning",1.0,0.5340422987937927,"Microsoft virus warning","Skipped"
0.0,10.0,0.0,0.06642770767211914,"A U.S. surgeon who exposed “<font color = red>Clinton</font> Foundation corruption in <font color = red>Haiti</font>” was found dead in his home under suspicious circumstances.",0.0,0.06319522857666016,"A U.S. surgeon who exposed “<font color = red>Kolbe</font> Foundation corruption in <font color = red>Bhutan</font>” was found dead in his home under suspicious circumstances.","Failed"
0.0,10.0,0.0,0.3195216655731201,"<font color = red>Michele</font> <font color = red>Bachmann</font> said that solar power drains the sun of heat.",0.0,0.30178767442703247,"<font color = red>Petar</font> <font color = red>Darby</font> said that solar power drains the sun of heat.","Failed"
0.0,10.0,0.0,0.1199309229850769,"Tonopah Solar Company $<font color = red>737</font> <font color = red>Million</font> Government Loan For Solar <SPLIT>Project",0.0,0.3934779763221741,"Tonopah Solar Company $<font color = red>238</font> <font color = red>one</font> <font color = red>million</font>, <font color = red>nine</font> <font color = red>hundred</font> <font color = red>and</font> <font color = red>seventy-five</font> <font color = red>thousand</font>, <font color = red>five</font> <font color = red>hundred</font> <font color = red>and</font> <font color = red>thirty-three</font> Government Loan For Solar <SPLIT>Project","Failed"
0.0,1.0,0.0,0.1472145915031433,"The zodiac is about to change to include a ""new"" star sign, Ophiuchus.",0.0,0.1472145915031433,"The zodiac is about to change to include a ""new"" star sign, Ophiuchus.","Failed"
0.0,10.0,0.0,0.45101797580718994,"<font color = red>Bill</font> Clinton’s 1996 Immigration Law Behind Child Separations",1.0,0.5642936825752258,"<font color = green>Kayleb</font> Clinton’s 1996 Immigration Law Behind Child Separations","Successful"
0.0,1.0,1.0,0.6357971429824829,"Warner says Gillespie supports a personhood amendment",1.0,0.6357971429824829,"Warner says Gillespie supports a personhood amendment","Skipped"
0.0,1.0,0.0,0.35188448429107666,"Is Price guilty of ""Tomfoolery""?",0.0,0.35188448429107666,"Is Price guilty of ""Tomfoolery""?","Failed"
0.0,1.0,1.0,0.5358695983886719,"Arizona School Requires Female Students to Wear Hijab for One Month",1.0,0.5358695983886719,"Arizona School Requires Female Students to Wear Hijab for One Month","Skipped"
0.0,4.0,0.0,0.44202059507369995,"Websites offer false headlines about treason 'charges' for Trump, <font color = red>Comey</font>, others",0.0,0.47168320417404175,"Websites offer false headlines about treason 'charges' for Trump, <font color = red>Race</font>, others","Failed"
0.0,17.0,0.0,0.3718752861022949,"<font color = red>Barack</font> <font color = red>Obama</font> says that what <font color = red>he'd</font> said was you could keep your plan 'if it hasn’t changed since the law passed'",0.0,0.3429555296897888,"<font color = red>Bess</font> <font color = red>Chen</font> says that what <font color = red>he</font> <font color = red>would</font> said was you could keep your plan 'if it hasn’t changed since the law passed'","Failed"
0.0,29.0,0.0,0.1401786208152771,"<font color = red>Providence</font> firefighters’ union says <font color = red>Elorza</font> wants to teach public school children <font color = red>God</font> <font color = red>does</font> <font color = red>not</font> exist",0.0,0.24741625785827637,"<font color = red>Huntington</font> <font color = red>Beach</font> firefighters’ union says <font color = red>Brystal</font> wants to teach public school children <font color = red>Storm</font> <font color = red>doesn't</font> exist","Failed"
0.0,36.0,0.0,0.17500877380371094,"<font color = red>Prince</font> <font color = red>Harry</font> never said <font color = red>Donald</font> <font color = red>Trump</font> <font color = red>wasn't</font> welcome at his wedding",0.0,0.24770396947860718,"<font color = red>Ryne</font> <font color = red>Graff</font> never said <font color = red>Jeniffer</font> <font color = red>Metz</font> <font color = red>was</font> <font color = red>not</font> welcome at his wedding","Failed"
0.0,19.0,0.0,0.1317124366760254,"<font color = red>Nancy</font> <font color = red>Pelosi</font> says Supreme Court is '<font color = red>five</font> guys who start determining what contraceptions are legal'",0.0,0.11536240577697754,"<font color = red>Trever</font> <font color = red>Chairez</font> says Supreme Court is '<font color = red>four</font> guys who start determining what contraceptions are legal'","Failed"
0.0,19.0,0.0,0.12274277210235596,"<font color = red>John</font> <font color = red>Boehner</font> says Keystone XL pipeline would create <font color = red>100</font>,000 jobs",0.0,0.13708925247192383,"<font color = red>Brexton</font> <font color = red>Nowlin</font> says Keystone XL pipeline would create <font color = red>123</font>,000 jobs","Failed"
0.0,2.0,0.0,0.44949764013290405,"The Iraq Study Group <font color = red>didn't</font> say that",0.0,0.2683071494102478,"The Iraq Study Group <font color = red>did</font> <font color = red>not</font> say that","Failed"
0.0,4.0,0.0,0.46206700801849365,"Young Thief in <font color = red>Iran</font> Punished by Running a Truck Over His Arm",0.0,0.48767685890197754,"Young Thief in <font color = red>Burundi</font> Punished by Running a Truck Over His Arm","Failed"
0.0,24.0,0.0,0.19404101371765137,"The Pentagon purchased <font color = red>five</font> <font color = red>million</font> Powerball tickets at a cost of $<font color = red>10</font> <font color = red>million</font> so they could buy more F-35s if they won.",0.0,0.37939560413360596,"The Pentagon purchased <font color = red>six</font>, <font color = red>seven</font> <font color = red>hundred</font> <font color = red>and</font> <font color = red>sixty-six</font> <font color = red>thousand</font>, <font color = red>nine</font> <font color = red>hundred</font> <font color = red>and</font> <font color = red>sixty-seven</font> <font color = red>one</font> <font color = red>million</font>, <font color = red>one</font> <font color = red>hundred</font> <font color = red>and</font> <font color = red>seventy-seven</font> <font color = red>thousand</font>, <font color = red>six</font> <font color = red>hundred</font> <font color = red>and</font> <font color = red>ninety-two</font> Powerball tickets at a cost of $<font color = red>11</font> <font color = red>eighty-eight</font> <font color = red>thousand</font>, <font color = red>eight</font> <font color = red>hundred</font> <font color = red>and</font> <font color = red>three</font> so they could buy more F-35s if they won.","Failed"
0.0,31.0,0.0,0.09287428855895996,"In response to <font color = red>Donald</font> <font color = red>Trump's</font> congratulations on the Falcon Heavy launch, SpaceX CEO <font color = red>Elon</font> <font color = red>Musk</font> called the president a ""dumbass.""",0.0,0.12230092287063599,"In response to <font color = red>Emmaly</font> <font color = red>Mchugh</font> congratulations on the Falcon Heavy launch, SpaceX CEO <font color = red>Karry</font> <font color = red>Heller</font> called the president a ""dumbass.""","Failed"
0.0,31.0,0.0,0.09907442331314087,"<font color = red>Donald</font> <font color = red>Trump</font> falsely claims <font color = red>Hillary</font> <font color = red>Clinton</font> 'wants to abolish the 2nd Amendment'",0.0,0.14231550693511963,"<font color = red>Ilsa</font> <font color = red>Grow</font> falsely claims <font color = red>Sarenity</font> <font color = red>Belisle</font> 'wants to abolish the 2nd Amendment'","Failed"
0.0,1.0,0.0,0.3594508171081543,"Unemployed Mothers Will Be Sent to Jail Under New Law",0.0,0.3594508171081543,"Unemployed Mothers Will Be Sent to Jail Under New Law","Failed"
0.0,10.0,0.0,0.2491779923439026,"RNC chairman <font color = red>Michael</font> <font color = red>Steele</font> says VA has a manual that encourages vets to commit suicide ",0.0,0.27692294120788574,"RNC chairman <font color = red>Blain</font> <font color = red>Wilburn</font> says VA has a manual that encourages vets to commit suicide ","Failed"
0.0,1.0,1.0,0.5761444568634033,"Common Houseplant Can Kill Children in Under a Minute",1.0,0.5761444568634033,"Common Houseplant Can Kill Children in Under a Minute","Skipped"
0.0,29.0,0.0,0.1220514178276062,"<font color = red>Anna</font> Mae <font color = red>Dickinson</font> survived a variety of infamous tragedies, including the sinking of the Titanic, the Hindenburg explosion, and the <font color = red>9</font>/<font color = red>11</font> terrorist attacks.",0.0,0.12380552291870117,"<font color = red>Donzell</font> Mae <font color = red>Confer</font> survived a variety of infamous tragedies, including the sinking of the Titanic, the Hindenburg explosion, and the <font color = red>7</font>/<font color = red>20</font> terrorist attacks.","Failed"
0.0,10.0,0.0,0.19090890884399414,"Fake news about Washington Post and <font color = red>Roy</font> <font color = red>Moore</font> accuser stems from disputed Twitter account",0.0,0.22732436656951904,"Fake news about Washington Post and <font color = red>Daryle</font> <font color = red>Beer</font> accuser stems from disputed Twitter account","Failed"
0.0,1.0,1.0,0.727256178855896,"Ronald Rice claims Newark schools are funded largely by local property taxes",1.0,0.727256178855896,"Ronald Rice claims Newark schools are funded largely by local property taxes","Skipped"
0.0,10.0,0.0,0.10263514518737793,"An audio recording features CNN anchor <font color = red>Jake</font> <font color = red>Tapper</font> using racial slurs.",0.0,0.1275692582130432,"An audio recording features CNN anchor <font color = red>Concetta</font> <font color = red>Astorga</font> using racial slurs.","Failed"
0.0,1.0,1.0,0.6142594218254089,"Oregon Labor Commissioner investigates 300 housing complaints a year?",1.0,0.6142594218254089,"Oregon Labor Commissioner investigates 300 housing complaints a year?","Skipped"
0.0,1.0,1.0,0.5115269422531128,"Hillary Clinton says economic stats were 100 times better under Bill Clinton than Ronald Reagan",1.0,0.5115269422531128,"Hillary Clinton says economic stats were 100 times better under Bill Clinton than Ronald Reagan","Skipped"
0.0,1.0,1.0,0.5511858463287354,"Money from Saudi Arabian McDonald’s helping terrorists",1.0,0.5511858463287354,"Money from Saudi Arabian McDonald’s helping terrorists","Skipped"
0.0,10.0,0.0,0.484022855758667,"<font color = red>Ann</font> Marie <font color = red>Buerkle</font>, GOP candidate, says under new health law, feds will track Americans' body mass index",0.0,0.4869574308395386,"<font color = red>Megha</font> Marie <font color = red>Boice</font>, GOP candidate, says under new health law, feds will track Americans' body mass index","Failed"
0.0,10.0,0.0,0.48874592781066895,"<font color = red>Bill</font> Maher says GOP proposal would limit seniors to $15,000 spending under Medicare",1.0,0.5260441303253174,"<font color = green>Aislynn</font> Maher says GOP proposal would limit seniors to $15,000 spending under Medicare","Successful"
0.0,2.0,0.0,0.2850256562232971,"No, CNN <font color = red>isn't</font> closing after ratings drop",0.0,0.25393348932266235,"No, CNN <font color = red>is</font> <font color = red>not</font> closing after ratings drop","Failed"
0.0,4.0,0.0,0.09712928533554077,"SA police: ‘<font color = red>Don</font>’t help crying children’ warning a hoax | Africa Check",0.0,0.13598263263702393,"SA police: ‘<font color = red>Lady</font>’t help crying children’ warning a hoax | Africa Check","Failed"
0.0,1.0,1.0,0.5692082047462463,"Limbaugh says unemployment drop was skewed by Thanksgiving holiday",1.0,0.5692082047462463,"Limbaugh says unemployment drop was skewed by Thanksgiving holiday","Skipped"
0.0,19.0,0.0,0.19245272874832153,"    “<font color = red>Canada</font> spends $<font color = red>12</font> <font color = red>billion</font> a year on oil from Saudi Arabia.”  ",0.0,0.41364264488220215,"    “<font color = red>North</font> <font color = red>Macedonia</font> spends $<font color = red>19</font> <font color = red>one</font> <font color = red>billion</font>, <font color = red>eight</font> <font color = red>hundred</font> <font color = red>and</font> <font color = red>seventy-eight</font> <font color = red>million</font>, <font color = red>six</font> <font color = red>hundred</font> <font color = red>and</font> <font color = red>sixty-eight</font> <font color = red>thousand</font>, <font color = red>four</font> <font color = red>hundred</font> <font color = red>and</font> <font color = red>twenty</font> a year on oil from Saudi Arabia.”  ","Failed"
0.0,10.0,0.0,0.2631867527961731,"Stranded motorist who turned out to be Mrs. <font color = red>Nat</font> King <font color = red>Cole</font>",0.0,0.36107128858566284,"Stranded motorist who turned out to be Mrs. <font color = red>Maddy</font> King <font color = red>Bird</font>","Failed"
0.0,23.0,0.0,0.19049710035324097,"<font color = red>Donald</font> <font color = red>Trump</font> says <font color = red>Mexico</font> <font color = red>doesn't</font> have birthright citizenship",0.0,0.3236631751060486,"<font color = red>Navy</font> <font color = red>Richie</font> says <font color = red>Greenland</font> <font color = red>does</font> <font color = red>not</font> have birthright citizenship","Failed"
0.0,19.0,0.0,0.07284176349639893,"Vice President <font color = red>Mike</font> <font color = red>Pence</font> will be stepping down from the GOP ticket in <font color = red>2020</font> to run for a U.S. Senate seat in Indiana.",0.0,0.1202356219291687,"Vice President <font color = red>Theresa</font> <font color = red>Child</font> will be stepping down from the GOP ticket in <font color = red>799</font> to run for a U.S. Senate seat in Indiana.","Failed"
0.0,10.0,0.0,0.05564504861831665,"A photograph shows <font color = red>Donald</font> <font color = red>Trump</font> in a diaper.",0.0,0.06311458349227905,"A photograph shows <font color = red>Tyara</font> <font color = red>Muldoon</font> in a diaper.","Failed"
0.0,10.0,0.0,0.11213529109954834,"Green Bay Packers coach <font color = red>Mike</font> <font color = red>McCarthy</font> put something on the field that ""pissed off"" his ""racist"" players.",0.0,0.12212836742401123,"Green Bay Packers coach <font color = red>Lynwood</font> <font color = red>Ecker</font> put something on the field that ""pissed off"" his ""racist"" players.","Failed"
0.0,31.0,0.0,0.02013450860977173,"<font color = red>Donald</font> <font color = red>Trump</font> threatened to skip the remaining presidential debates if <font color = red>Hillary</font> <font color = red>Clinton</font> showed up.",0.0,0.05597597360610962,"<font color = red>Wilburn</font> <font color = red>Dixson</font> threatened to skip the remaining presidential debates if <font color = red>Bonita</font> <font color = red>Hoyt</font> showed up.","Failed"
0.0,4.0,0.0,0.30304795503616333,"Conspiracy theorists concoct fake report of <font color = red>Obama</font> arrest for drug smuggling",0.0,0.37902510166168213,"Conspiracy theorists concoct fake report of <font color = red>Travon</font> arrest for drug smuggling","Failed"
0.0,1.0,0.0,0.3978157639503479,"McCain's record on pork: Good, not perfect",0.0,0.3978157639503479,"McCain's record on pork: Good, not perfect","Failed"
0.0,4.0,0.0,0.22876542806625366,"Videos of home testing of bottled water handed out in <font color = red>Flint</font> demonstrate the existence of dangerous levels of lead.",0.0,0.20432710647583008,"Videos of home testing of bottled water handed out in <font color = red>Georgetown</font> demonstrate the existence of dangerous levels of lead.","Failed"
0.0,31.0,0.0,0.13700145483016968,"Website falsely claims <font color = red>Melania</font> <font color = red>Trump</font> made 'shocking announcement' to <font color = red>Donald</font> <font color = red>Trump</font>",0.0,0.3109736442565918,"Website falsely claims <font color = red>Lindley</font> <font color = red>Longley</font> made 'shocking announcement' to <font color = red>Gisel</font> <font color = red>Reitz</font>","Failed"
0.0,18.0,0.0,0.21829074621200562,"As President <font color = red>Obama</font> departed <font color = red>Cuba</font>, dozens of prospective refugees clung to the wings of Air Force <font color = red>One</font>.",0.0,0.4828494191169739,"As President <font color = red>Leroy</font> departed <font color = red>Ireland</font>, dozens of prospective refugees clung to the wings of Air Force <font color = red>two</font>.","Failed"
0.0,10.0,0.0,0.0608101487159729,"<font color = red>Laura</font> <font color = red>Ingraham</font> says Massachusetts health plan is ""wildly unpopular""",0.0,0.06386315822601318,"<font color = red>Keala</font> <font color = red>Hartz</font> says Massachusetts health plan is ""wildly unpopular""","Failed"
0.0,1.0,0.0,0.21599698066711426,"Chinese Fireworks Video – Fiction",0.0,0.21599698066711426,"Chinese Fireworks Video – Fiction","Failed"
0.0,1.0,1.0,0.7206863164901733,"Rep. Ron Maag says 46 percent of Medicaid expansion money would be borrowed from foreign governments that don’t “like us very much”",1.0,0.7206863164901733,"Rep. Ron Maag says 46 percent of Medicaid expansion money would be borrowed from foreign governments that don’t “like us very much”","Skipped"
0.0,13.0,0.0,0.33256739377975464,"George Allen says U.S. lent $2 <font color = red>billion</font> to Brazil for oil and gas exploration",1.0,0.6384111046791077,"George Allen says U.S. lent $2 <font color = green>seven</font> <font color = green>hundred</font> <font color = green>and</font> <font color = green>seventy-eight</font> <font color = green>million</font>, <font color = green>four</font> <font color = green>hundred</font> <font color = green>and</font> <font color = green>twenty</font> <font color = green>thousand</font>, <font color = green>four</font> <font color = green>hundred</font> <font color = green>and</font> <font color = green>eighty-three</font> to Brazil for oil and gas exploration","Successful"
0.0,57.0,0.0,0.4013574719429016,"<font color = red>Sen</font>. Barbara <font color = red>Boxer</font> says <font color = red>Condoleezza</font> <font color = red>Rice</font> <font color = red>didn't</font> know how many troops had died in <font color = red>Iraq</font>",0.0,0.2749261260032654,"<font color = red>Delfina</font>. Barbara <font color = red>Bay</font> says <font color = red>Raj</font> <font color = red>Grogan</font> <font color = red>did</font> <font color = red>not</font> know how many troops had died in <font color = red>United</font> <font color = red>Arab</font> <font color = red>Emirates</font>","Failed"
0.0,1.0,0.0,0.16615384817123413,"Various restaurants around the world were shut down for serving  for serving human meat.",0.0,0.16615384817123413,"Various restaurants around the world were shut down for serving  for serving human meat.","Failed"
0.0,1.0,1.0,0.7202486991882324,"Is Barack Obama trying to 'pack' the D.C. Circuit Court of Appeals?",1.0,0.7202486991882324,"Is Barack Obama trying to 'pack' the D.C. Circuit Court of Appeals?","Skipped"
0.0,1.0,0.0,0.09831887483596802,"Walt Disney announced that they were permanently closing the Fort Wilderness Campgrounds due to damage from Hurricane Irma.",0.0,0.09831887483596802,"Walt Disney announced that they were permanently closing the Fort Wilderness Campgrounds due to damage from Hurricane Irma.","Failed"
0.0,19.0,0.0,0.17555463314056396,"Facebook vice president <font color = red>Jeff</font> <font color = red>Rothschild</font> said ""In order to finalize the New World Order process we need a 3rd world war to exterminate <font color = red>90</font>% of the world's population.""",0.0,0.22269636392593384,"Facebook vice president <font color = red>Kayleen</font> <font color = red>Pasley</font> said ""In order to finalize the New World Order process we need a 3rd world war to exterminate <font color = red>129</font>% of the world's population.""","Failed"
0.0,48.0,0.0,0.07629179954528809,"Republican VP candidate <font color = red>Mike</font> <font color = red>Pence</font>  proclaimedthat ""the things <font color = red>Donald</font> <font color = red>Trump</font> says <font color = red>wouldn't</font> hurt our campaign half as much if the press <font color = red>didn't</font> report it.""",0.0,0.08703064918518066,"Republican VP candidate <font color = red>Aurianna</font> <font color = red>Middlebrooks</font>  proclaimedthat ""the things <font color = red>Malka</font> <font color = red>Tice</font> says <font color = red>would</font> <font color = red>not</font> hurt our campaign half as much if the press <font color = red>did</font> <font color = red>not</font> report it.""","Failed"
