"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,38.0,0.0,0.2767269015312195,"Wisconsin state Sen. Scott Fitzgerald says some people have been found to be voting five or six <font color = red>times</font> a day",1.0,0.5762830972671509,"Wisconsin state Sen. Scott Fitzgerald says some people have been found to be voting five or six <font color = green>time</font> a day","Successful"
0.0,124.0,0.0,0.10322856903076172,"<font color = red>Rand</font> <font color = red>Paul</font> <font color = red>said</font> that <font color = red>Marco</font> <font color = red>Rubio</font> is for an '<font color = red>open</font> border'",0.0,0.2694493532180786,"<font color = red>Outskirts</font> <font color = red>Pauly</font> <font color = red>expressed</font> that <font color = red>Backdrop</font> <font color = red>Romney</font> is for an '<font color = red>started</font> border'","Failed"
0.0,1.0,1.0,0.5340422987937927,"Microsoft virus warning",1.0,0.5340422987937927,"Microsoft virus warning","Skipped"
0.0,197.0,0.0,0.06642770767211914,"<font color = red>A</font> <font color = red>U</font>.S. <font color = red>surgeon</font> who <font color = red>exposed</font> “Clinton Foundation corruption in <font color = red>Haiti</font>” was <font color = red>found</font> dead in his home under suspicious <font color = red>circumstances</font>.",1.0,0.5217603445053101,"<font color = green>another</font> <font color = green>oder</font>.S. <font color = green>clinical</font> who <font color = green>presented</font> “Clinton Foundation corruption in <font color = green>Senegalese</font>” was <font color = green>finds</font> dead in his home under suspicious <font color = green>truths</font>.","Successful"
0.0,63.0,0.0,0.3195216655731201,"<font color = red>Michele</font> Bachmann said that solar power drains the sun of <font color = red>heat</font>.",1.0,0.5002049803733826,"<font color = green>Stephanie</font> Bachmann said that solar power drains the sun of <font color = green>hottest</font>.","Successful"
0.0,49.0,0.0,0.1199309229850769,"Tonopah Solar Company $737 Million Government Loan For <font color = red>Solar</font> <SPLIT><font color = red>Project</font>",1.0,0.5106952786445618,"Tonopah Solar Company $737 Million Government Loan For <font color = green>Sunblock</font> <SPLIT><font color = green>Suggestions</font>","Successful"
0.0,183.0,0.0,0.1472145915031433,"The <font color = red>zodiac</font> is about to <font color = red>change</font> to <font color = red>include</font> a ""<font color = red>new</font>"" <font color = red>star</font> <font color = red>sign</font>, Ophiuchus.",1.0,0.5676801204681396,"The <font color = green>horoscope</font> is about to <font color = green>alterations</font> to <font color = green>understand</font> a ""<font color = green>updated</font>"" <font color = green>shines</font> <font color = green>signal</font>, Ophiuchus.","Successful"
0.0,28.0,0.0,0.45101797580718994,"<font color = red>Bill</font> Clinton’s 1996 Immigration Law Behind Child Separations",1.0,0.6632990837097168,"<font color = green>Invoices</font> Clinton’s 1996 Immigration Law Behind Child Separations","Successful"
0.0,1.0,1.0,0.6357971429824829,"Warner says Gillespie supports a personhood amendment",1.0,0.6357971429824829,"Warner says Gillespie supports a personhood amendment","Skipped"
0.0,54.0,0.0,0.35188448429107666,"<font color = red>Is</font> Price <font color = red>guilty</font> of ""Tomfoolery""?",1.0,0.7179217338562012,"<font color = green>Derives</font> Price <font color = green>responsible</font> of ""Tomfoolery""?","Successful"
0.0,1.0,1.0,0.5358695983886719,"Arizona School Requires Female Students to Wear Hijab for One Month",1.0,0.5358695983886719,"Arizona School Requires Female Students to Wear Hijab for One Month","Skipped"
0.0,30.0,0.0,0.44202059507369995,"Websites offer false headlines about treason 'charges' for <font color = red>Trump</font>, Comey, others",1.0,0.5511410236358643,"Websites offer false headlines about treason 'charges' for <font color = green>Whore</font>, Comey, others","Successful"
0.0,128.0,0.0,0.3718752861022949,"<font color = red>Barack</font> Obama says that what he'd <font color = red>said</font> was you could <font color = red>keep</font> your plan 'if it hasn’t changed since the law passed'",1.0,0.5165334343910217,"<font color = green>Barrack</font> Obama says that what he'd <font color = green>alluded</font> was you could <font color = green>preserved</font> your plan 'if it hasn’t changed since the law passed'","Successful"
0.0,63.0,0.0,0.1401786208152771,"Providence firefighters’ union says Elorza wants to teach public school children God <font color = red>does</font> not <font color = red>exist</font>",1.0,0.5155681371688843,"Providence firefighters’ union says Elorza wants to teach public school children God <font color = green>do</font> not <font color = green>being</font>","Successful"
0.0,131.0,0.0,0.17500877380371094,"<font color = red>Prince</font> <font color = red>Harry</font> never <font color = red>said</font> Donald <font color = red>Trump</font> wasn't welcome at his <font color = red>wedding</font>",1.0,0.7124856114387512,"<font color = green>Majesty</font> <font color = green>Harri</font> never <font color = green>alluded</font> Donald <font color = green>Slut</font> wasn't welcome at his <font color = green>mari</font>","Successful"
0.0,221.0,0.0,0.1317124366760254,"<font color = red>Nancy</font> Pelosi says Supreme <font color = red>Court</font> is 'five <font color = red>guys</font> who <font color = red>start</font> <font color = red>determining</font> what contraceptions are legal'",1.0,0.5014864206314087,"<font color = green>Brescia</font> Pelosi says Supreme <font color = green>Jurisdictional</font> is 'five <font color = green>fellow</font> who <font color = green>outset</font> <font color = green>ascertained</font> what contraceptions are legal'","Successful"
0.0,123.0,0.0,0.12274277210235596,"John Boehner says <font color = red>Keystone</font> <font color = red>XL</font> <font color = red>pipeline</font> would <font color = red>create</font> 100,000 jobs",1.0,0.5200403332710266,"John Boehner says <font color = green>Based</font> <font color = green>XI</font> <font color = green>conduits</font> would <font color = green>built</font> 100,000 jobs","Successful"
0.0,54.0,0.0,0.44949764013290405,"The Iraq Study Group didn't <font color = red>say</font> that",1.0,0.6874396800994873,"The Iraq Study Group didn't <font color = green>argued</font> that","Successful"
0.0,60.0,0.0,0.46206700801849365,"Young Thief in Iran Punished by Running a <font color = red>Truck</font> Over His Arm",1.0,0.6082947254180908,"Young Thief in Iran Punished by Running a <font color = green>Suv</font> Over His Arm","Successful"
0.0,68.0,0.0,0.19404101371765137,"The Pentagon purchased five million Powerball tickets at a cost of $10 million <font color = red>so</font> they could <font color = red>buy</font> more F-35s if they won.",1.0,0.5398265719413757,"The Pentagon purchased five million Powerball tickets at a cost of $10 million <font color = green>than</font> they could <font color = green>gained</font> more F-35s if they won.","Successful"
0.0,285.0,0.0,0.09287428855895996,"In <font color = red>response</font> to <font color = red>Donald</font> Trump's congratulations on the Falcon <font color = red>Heavy</font> <font color = red>launch</font>, SpaceX CEO Elon <font color = red>Musk</font> <font color = red>called</font> the <font color = red>president</font> a ""<font color = red>dumbass</font>.""",1.0,0.500460147857666,"In <font color = green>answered</font> to <font color = green>Hsia</font> Trump's congratulations on the Falcon <font color = green>Hefty</font> <font color = green>commenced</font>, SpaceX CEO Elon <font color = green>Sandalwood</font> <font color = green>telephone</font> the <font color = green>chairwoman</font> a ""<font color = green>dork</font>.""","Successful"
0.0,162.0,0.0,0.09907442331314087,"Donald Trump falsely <font color = red>claims</font> Hillary Clinton '<font color = red>wants</font> to <font color = red>abolish</font> the 2nd Amendment'",1.0,0.5571314692497253,"Donald Trump falsely <font color = green>affirmations</font> Hillary Clinton '<font color = green>sought</font> to <font color = green>eradicated</font> the 2nd Amendment'","Successful"
0.0,32.0,0.0,0.3594508171081543,"Unemployed Mothers Will Be Sent to Jail Under <font color = red>New</font> Law",1.0,0.574202299118042,"Unemployed Mothers Will Be Sent to Jail Under <font color = green>Recently</font> Law","Successful"
0.0,20.0,0.0,0.2491779923439026,"RNC chairman Michael Steele says VA has a manual that encourages <font color = red>vets</font> to commit suicide ",1.0,0.5136603713035583,"RNC chairman Michael Steele says VA has a manual that encourages <font color = green>veteran</font> to commit suicide ","Successful"
0.0,1.0,1.0,0.5761444568634033,"Common Houseplant Can Kill Children in Under a Minute",1.0,0.5761444568634033,"Common Houseplant Can Kill Children in Under a Minute","Skipped"
0.0,284.0,0.0,0.1220514178276062,"<font color = red>Anna</font> Mae <font color = red>Dickinson</font> <font color = red>survived</font> a <font color = red>variety</font> of infamous tragedies, <font color = red>including</font> the <font color = red>sinking</font> of the Titanic, the Hindenburg <font color = red>explosion</font>, and the 9/11 terrorist <font color = red>attacks</font>.",1.0,0.5876473784446716,"<font color = green>Annas</font> Mae <font color = green>Douglass</font> <font color = green>outlive</font> a <font color = green>distinct</font> of infamous tragedies, <font color = green>understands</font> the <font color = green>immersed</font> of the Titanic, the Hindenburg <font color = green>shattering</font>, and the 9/11 terrorist <font color = green>bombarded</font>.","Successful"
0.0,72.0,0.0,0.19090890884399414,"Fake news about Washington Post and Roy Moore <font color = red>accuser</font> <font color = red>stems</font> from disputed Twitter account",1.0,0.5512155890464783,"Fake news about Washington Post and Roy Moore <font color = green>dodgy</font> <font color = green>embryonic</font> from disputed Twitter account","Successful"
0.0,1.0,1.0,0.727256178855896,"Ronald Rice claims Newark schools are funded largely by local property taxes",1.0,0.727256178855896,"Ronald Rice claims Newark schools are funded largely by local property taxes","Skipped"
0.0,176.0,0.0,0.10263514518737793,"An <font color = red>audio</font> recording <font color = red>features</font> <font color = red>CNN</font> <font color = red>anchor</font> <font color = red>Jake</font> Tapper <font color = red>using</font> racial <font color = red>slurs</font>.",1.0,0.5798959136009216,"An <font color = green>reproducing</font> recording <font color = green>nature</font> <font color = green>MSNBC</font> <font color = green>anchorage</font> <font color = green>Jacobs</font> Tapper <font color = green>operated</font> racial <font color = green>demeaning</font>.","Successful"
0.0,1.0,1.0,0.6142594218254089,"Oregon Labor Commissioner investigates 300 housing complaints a year?",1.0,0.6142594218254089,"Oregon Labor Commissioner investigates 300 housing complaints a year?","Skipped"
0.0,1.0,1.0,0.5115269422531128,"Hillary Clinton says economic stats were 100 times better under Bill Clinton than Ronald Reagan",1.0,0.5115269422531128,"Hillary Clinton says economic stats were 100 times better under Bill Clinton than Ronald Reagan","Skipped"
0.0,1.0,1.0,0.5511858463287354,"Money from Saudi Arabian McDonald’s helping terrorists",1.0,0.5511858463287354,"Money from Saudi Arabian McDonald’s helping terrorists","Skipped"
0.0,68.0,0.0,0.484022855758667,"Ann Marie Buerkle, GOP candidate, says under new health law, feds will <font color = red>track</font> Americans' body mass index",1.0,0.6865174770355225,"Ann Marie Buerkle, GOP candidate, says under new health law, feds will <font color = green>way</font> Americans' body mass index","Successful"
0.0,17.0,0.0,0.48874592781066895,"Bill Maher says GOP proposal would limit seniors to $15,000 spending under <font color = red>Medicare</font>",1.0,0.6242417097091675,"Bill Maher says GOP proposal would limit seniors to $15,000 spending under <font color = green>Hmo</font>","Successful"
0.0,15.0,0.0,0.2850256562232971,"<font color = red>No</font>, <font color = red>CNN</font> isn't closing after ratings drop",1.0,0.5325859189033508,"<font color = green>Any</font>, <font color = green>NBC</font> isn't closing after ratings drop","Successful"
0.0,63.0,0.0,0.09712928533554077,"SA police: ‘Don’t help crying children’ warning a hoax | Africa <font color = red>Check</font>",1.0,0.5542126297950745,"SA police: ‘Don’t help crying children’ warning a hoax | Africa <font color = green>Audit</font>","Successful"
0.0,1.0,1.0,0.5692082047462463,"Limbaugh says unemployment drop was skewed by Thanksgiving holiday",1.0,0.5692082047462463,"Limbaugh says unemployment drop was skewed by Thanksgiving holiday","Skipped"
0.0,97.0,0.0,0.19245272874832153,"    “Canada <font color = red>spends</font> $12 billion a year on <font color = red>oil</font> from <font color = red>Saudi</font> <font color = red>Arabia</font>.”  ",1.0,0.5335092544555664,"    “Canada <font color = green>dedicates</font> $12 billion a year on <font color = green>distilled</font> from <font color = green>Arab</font> <font color = green>Arab</font>.”  ","Successful"
0.0,85.0,0.0,0.2631867527961731,"Stranded <font color = red>motorist</font> who turned out to be <font color = red>Mrs</font>. Nat King Cole",1.0,0.6226965188980103,"Stranded <font color = green>drives</font> who turned out to be <font color = green>Madame</font>. Nat King Cole","Successful"
0.0,51.0,0.0,0.19049710035324097,"<font color = red>Donald</font> Trump says <font color = red>Mexico</font> doesn't <font color = red>have</font> birthright citizenship",1.0,0.5408524870872498,"<font color = green>Hsia</font> Trump says <font color = green>Wetback</font> doesn't <font color = green>ont</font> birthright citizenship","Successful"
0.0,54.0,0.0,0.07284176349639893,"Vice President Mike Pence will be stepping down from the GOP ticket in 2020 to run for a <font color = red>U</font>.S. Senate <font color = red>seat</font> in <font color = red>Indiana</font>.",1.0,0.5045905113220215,"Vice President Mike Pence will be stepping down from the GOP ticket in 2020 to run for a <font color = green>xin</font>.S. Senate <font color = green>sitting</font> in <font color = green>Indio</font>.","Successful"
0.0,143.0,0.0,0.05564504861831665,"A <font color = red>photograph</font> <font color = red>shows</font> <font color = red>Donald</font> <font color = red>Trump</font> in a <font color = red>diaper</font>.",1.0,0.6087217330932617,"A <font color = green>illustration</font> <font color = green>illustrating</font> <font color = green>Ronald</font> <font color = green>Slut</font> in a <font color = green>level</font>.","Successful"
0.0,184.0,0.0,0.11213529109954834,"<font color = red>Green</font> <font color = red>Bay</font> Packers <font color = red>coach</font> <font color = red>Mike</font> McCarthy <font color = red>put</font> something on the field that ""<font color = red>pissed</font> off"" his ""<font color = red>racist</font>"" <font color = red>players</font>.",1.0,0.5083531737327576,"<font color = green>Ecology</font> <font color = green>Compartment</font> Packers <font color = green>coaches</font> <font color = green>Mitch</font> McCarthy <font color = green>presented</font> something on the field that ""<font color = green>angered</font> off"" his ""<font color = green>supremacist</font>"" <font color = green>readers</font>.","Successful"
0.0,226.0,0.0,0.02013450860977173,"<font color = red>Donald</font> <font color = red>Trump</font> <font color = red>threatened</font> to skip the remaining <font color = red>presidential</font> <font color = red>debates</font> if <font color = red>Hillary</font> <font color = red>Clinton</font> <font color = red>showed</font> up.",1.0,0.52476567029953,"<font color = green>Hsia</font> <font color = green>Vagabond</font> <font color = green>sapped</font> to skip the remaining <font color = green>republican</font> <font color = green>debated</font> if <font color = green>Newt</font> <font color = green>Republican</font> <font color = green>exemplified</font> up.","Successful"
0.0,71.0,0.0,0.30304795503616333,"Conspiracy theorists concoct fake <font color = red>report</font> of <font color = red>Obama</font> arrest for drug smuggling",1.0,0.6203473210334778,"Conspiracy theorists concoct fake <font color = green>enlightened</font> of <font color = green>Gop</font> arrest for drug smuggling","Successful"
0.0,26.0,0.0,0.3978157639503479,"McCain's record on pork: Good, not <font color = red>perfect</font>",1.0,0.5385579466819763,"McCain's record on pork: Good, not <font color = green>refined</font>","Successful"
0.0,73.0,0.0,0.22876542806625366,"Videos of home testing of bottled water handed out in Flint demonstrate the <font color = red>existence</font> of dangerous levels of <font color = red>lead</font>.",1.0,0.5522511601448059,"Videos of home testing of bottled water handed out in Flint demonstrate the <font color = green>inhabits</font> of dangerous levels of <font color = green>principals</font>.","Successful"
0.0,130.0,0.0,0.13700145483016968,"<font color = red>Website</font> <font color = red>falsely</font> <font color = red>claims</font> Melania Trump made '<font color = red>shocking</font> announcement' to <font color = red>Donald</font> Trump",1.0,0.542572021484375,"<font color = green>Venue</font> <font color = green>disproportionately</font> <font color = green>affirmation</font> Melania Trump made '<font color = green>dreaded</font> announcement' to <font color = green>Ronald</font> Trump","Successful"
0.0,51.0,0.0,0.21829074621200562,"As President <font color = red>Obama</font> departed Cuba, dozens of prospective refugees clung to the <font color = red>wings</font> of Air <font color = red>Force</font> One.",1.0,0.507549524307251,"As President <font color = green>Barrack</font> departed Cuba, dozens of prospective refugees clung to the <font color = green>pavilions</font> of Air <font color = green>Vigor</font> One.","Successful"
0.0,221.0,0.0,0.0608101487159729,"<font color = red>Laura</font> Ingraham <font color = red>says</font> Massachusetts <font color = red>health</font> <font color = red>plan</font> is ""<font color = red>wildly</font> <font color = red>unpopular</font>""",0.0,0.4655396342277527,"<font color = red>Rebeca</font> Ingraham <font color = red>assures</font> Massachusetts <font color = red>wholesome</font> <font color = red>scheduled</font> is ""<font color = red>fiercely</font> <font color = red>unpleasant</font>""","Failed"
0.0,35.0,0.0,0.21599698066711426,"Chinese Fireworks Video – <font color = red>Fiction</font>",1.0,0.7627994418144226,"Chinese Fireworks Video – <font color = green>Unreal</font>","Successful"
0.0,1.0,1.0,0.7206863164901733,"Rep. Ron Maag says 46 percent of Medicaid expansion money would be borrowed from foreign governments that don’t “like us very much”",1.0,0.7206863164901733,"Rep. Ron Maag says 46 percent of Medicaid expansion money would be borrowed from foreign governments that don’t “like us very much”","Skipped"
0.0,72.0,0.0,0.33256739377975464,"George Allen says U.S. lent $2 billion to <font color = red>Brazil</font> for oil and <font color = red>gas</font> exploration",1.0,0.6294293999671936,"George Allen says U.S. lent $2 billion to <font color = green>Vitor</font> for oil and <font color = green>gaz</font> exploration","Successful"
0.0,64.0,0.0,0.4013574719429016,"Sen. Barbara Boxer says Condoleezza Rice didn't know how many troops had <font color = red>died</font> in Iraq",1.0,0.5977933406829834,"Sen. Barbara Boxer says Condoleezza Rice didn't know how many troops had <font color = green>mort</font> in Iraq","Successful"
0.0,119.0,0.0,0.16615384817123413,"Various <font color = red>restaurants</font> around the <font color = red>world</font> were <font color = red>shut</font> down for serving  for serving human meat.",1.0,0.5130714178085327,"Various <font color = green>devouring</font> around the <font color = green>globally</font> were <font color = green>closest</font> down for serving  for serving human meat.","Successful"
0.0,1.0,1.0,0.7202486991882324,"Is Barack Obama trying to 'pack' the D.C. Circuit Court of Appeals?",1.0,0.7202486991882324,"Is Barack Obama trying to 'pack' the D.C. Circuit Court of Appeals?","Skipped"
0.0,168.0,0.0,0.09831887483596802,"Walt <font color = red>Disney</font> <font color = red>announced</font> that they were permanently <font color = red>closing</font> the Fort Wilderness Campgrounds due to <font color = red>damage</font> from Hurricane Irma.",1.0,0.5179316401481628,"Walt <font color = green>Disneyland</font> <font color = green>heralding</font> that they were permanently <font color = green>ended</font> the Fort Wilderness Campgrounds due to <font color = green>detriment</font> from Hurricane Irma.","Successful"
0.0,421.0,0.0,0.17555463314056396,"Facebook <font color = red>vice</font> <font color = red>president</font> <font color = red>Jeff</font> <font color = red>Rothschild</font> <font color = red>said</font> ""In <font color = red>order</font> to <font color = red>finalize</font> the <font color = red>New</font> World <font color = red>Order</font> <font color = red>process</font> we <font color = red>need</font> a 3rd world <font color = red>war</font> to <font color = red>exterminate</font> 90% of the world's <font color = red>population</font>.""",1.0,0.5138863325119019,"Facebook <font color = green>vise</font> <font color = green>chairing</font> <font color = green>Craig</font> <font color = green>Rothschilds</font> <font color = green>mentioned</font> ""In <font color = green>commandments</font> to <font color = green>concluded</font> the <font color = green>Innovative</font> World <font color = green>Behest</font> <font color = green>addressing</font> we <font color = green>vital</font> a 3rd world <font color = green>combating</font> to <font color = green>demoralize</font> 90% of the world's <font color = green>citizen</font>.""","Successful"
